categorie	group	value
Rural	Mélenchon	0.209302325581395
Rural	Hamon	0.0581395348837209
Rural	Macron	0.244186046511628
Rural	Fillon	0.22093023255814
Rural	Lepen	0.267441860465116
Petite ville	Mélenchon	0.222222222222222
Petite ville	Hamon	0.0555555555555556
Petite ville	Macron	0.255555555555556
Petite ville	Fillon	0.188888888888889
Petite ville	Lepen	0.277777777777778
Moyenne ville	Mélenchon	0.21875
Moyenne ville	Hamon	0.0729166666666667
Moyenne ville	Macron	0.270833333333333
Moyenne ville	Fillon	0.1875
Moyenne ville	Lepen	0.25
Grande ville	Mélenchon	0.21505376344086
Grande ville	Hamon	0.0752688172043011
Grande ville	Macron	0.258064516129032
Grande ville	Fillon	0.225806451612903
Grande ville	Lepen	0.225806451612903
Paris	Mélenchon	0.204301075268817
Paris	Hamon	0.0645161290322581
Paris	Macron	0.311827956989247
Paris	Fillon	0.268817204301075
Paris	Lepen	0.150537634408602
